Blur,Contrast,hog,pca,accuracy,f1,precision,recall,f1_class_0,f1_class_1,f1_class_2,f1_class_3,avg_conf,avg_conf_class_0,avg_conf_class_1,avg_conf_class_2,avg_conf_class_3
0,0.0,False,False,0.52975,0.519055705066778,0.522985497522835,0.52975,0.6024481106971793,0.3265993265993266,0.5057591623036649,0.6414162206669412,0.42173,0.3654038680318544,0.35630434782608694,0.4801098901098901,0.45500349895031494
1,0.0,False,False,0.531,0.5199887365216997,0.5313460887586566,0.531,0.5900168255748738,0.3416289592760181,0.5122332118688183,0.6360759493670886,0.43213,0.36593869731800766,0.35723958333333333,0.4851682953311618,0.4717212041884816
3,0.0,False,False,0.5075,0.4882529580562696,0.5410798104057812,0.5075,0.4884979702300406,0.3235638921453693,0.5303580695381422,0.6105919003115264,0.48696249999999996,0.35474895397489536,0.36069405099150137,0.5260733549083064,0.5484171519322393
5,0.0,False,False,0.448,0.39949431868934254,0.5300630499594329,0.448,0.2158894645941278,0.2905775075987842,0.5313152400835073,0.560195062480951,0.55351,0.3404430379746835,0.37268217054263564,0.547532751091703,0.6218018412976765
7,0.0,False,False,0.427,0.3595532472412668,0.5260726546279162,0.427,0.08325449385052035,0.2851758793969849,0.5276139410187668,0.5421686746987951,0.6129825,0.32877192982456144,0.3843918918918919,0.5803699421965318,0.6852815768302495
10,0.0,False,False,0.4135,0.33467006753636774,0.49448813130865976,0.4135,0.01775147928994083,0.2591362126245847,0.5363735070575462,0.5254190711733993,0.6763075000000002,0.33214285714285713,0.4017029702970297,0.6190736342042755,0.7489427813565744
0,1.25,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
0,1.5,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
0,1.75,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
0,2.0,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
1,1.25,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
1,1.5,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
1,1.75,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
1,2.0,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
3,1.25,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
3,1.5,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
3,1.75,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
3,2.0,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
5,1.25,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
5,1.5,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
5,1.75,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
5,2.0,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
7,1.25,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
7,1.5,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
7,1.75,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
7,2.0,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
10,1.25,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
10,1.5,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
10,1.75,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
10,2.0,False,False,0.25,0.1,0.0625,0.25,0.0,0.0,0.0,0.4,0.42,,,,0.42
0,0.0,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4703749999999998,0.4703749999999998,,,
1,0.0,False,True,0.50425,0.4877342612388071,0.5045391902665484,0.50425,0.5586470267321331,0.293398533007335,0.5024523160762943,0.5964391691394659,0.4177275,0.4123169267707083,0.36649371069182385,0.5028742514970059,0.39767688679245283
3,0.0,False,True,0.5095,0.4950808489911803,0.5203786646855941,0.5095,0.5543159130945391,0.315035799522673,0.5127931769722814,0.5981785063752277,0.425995,0.41610241820768135,0.3690384615384615,0.514406392694064,0.4076618911174785
5,0.0,False,True,0.5,0.48123024940754644,0.5220789446663283,0.5,0.5186615186615187,0.2869405272838749,0.5235443037974683,0.5957746478873239,0.442235,0.42189530685920573,0.37770206022187003,0.5275487179487179,0.42528260869565215
7,0.0,False,True,0.49375,0.4679186642858399,0.5348633659789381,0.49375,0.4806201550387597,0.2606484424666243,0.5332690453230472,0.5971370143149284,0.46359750000000005,0.4286873508353222,0.3875741710296684,0.5524208566108006,0.44435884177869706
10,0.0,False,True,0.4745,0.4344946889068449,0.5292717093890006,0.4745,0.3851508120649652,0.22132796780684105,0.5411140583554377,0.5903859174001355,0.493245,0.4344368600682594,0.39435845213849285,0.5866402535657685,0.4665916069600819
0,1.25,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.47076999999999986,0.47076999999999986,,,
0,1.5,False,True,0.25,0.1,0.0625,0.25,0.4,0.0,0.0,0.0,0.4711799999999999,0.4711799999999999,,,
