test_set,blur_size,noise_level,accuracy,f1,precision_overall,recall_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,f1_immune,f1_other,f1_stromal,f1_tumour,confidence_overall,confidence_immune_avg,confidence_other_avg,confidence_stromal_avg,confidence_tumour_avg,confidence_immune_std,confidence_other_std,confidence_stromal_std,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour,confusion_matrix
1,0,0,0.7065,0.702714001744926,0.703394173514276,0.7065,0.6821541710665259,0.7401415571284126,0.6560364464692483,0.7352445193929174,0.646,0.732,0.576,0.872,0.6635850025680534,0.7360482654600302,0.6134185303514377,0.797804208600183,0.72964334,0.73678625,0.7073004,0.69839174,0.76570725,0.17038727,0.17222163,0.18218514,0.17612804,947,989,878,1186,"[[646, 95, 166, 93], [64, 732, 93, 111], [203, 111, 576, 110], [34, 51, 43, 872]]"
1,1,0,0.7065,0.702714001744926,0.703394173514276,0.7065,0.6821541710665259,0.7401415571284126,0.6560364464692483,0.7352445193929174,0.646,0.732,0.576,0.872,0.6635850025680534,0.7360482654600302,0.6134185303514377,0.797804208600183,0.72964334,0.73678625,0.7073004,0.69839174,0.76570725,0.17038727,0.17222163,0.18218514,0.17612804,947,989,878,1186,"[[646, 95, 166, 93], [64, 732, 93, 111], [203, 111, 576, 110], [34, 51, 43, 872]]"
1,3,0,0.547,0.5250854629449095,0.694073714017516,0.547,0.39082969432314413,0.8004587155963303,0.8784313725490196,0.7065750736015701,0.895,0.349,0.224,0.72,0.5440729483282675,0.4860724233983287,0.3569721115537849,0.7132243684992571,0.6991098,0.72768307,0.6098385,0.5877579,0.7009588,0.17568082,0.14810942,0.1292309,0.1649567,2290,436,255,1019,"[[895, 26, 16, 63], [491, 349, 13, 147], [640, 47, 224, 89], [264, 14, 2, 720]]"
1,5,0,0.40925,0.3520480165585667,0.7167615778583374,0.40925,0.30644132653061223,0.8465909090909091,0.9692307692307692,0.7447833065810594,0.961,0.149,0.063,0.464,0.4647001934235977,0.2534013605442177,0.11830985915492957,0.5717806531115218,0.74448276,0.7747684,0.5823482,0.5587693,0.657213,0.15819179,0.1297646,0.108416036,0.14605808,3136,176,65,623,"[[961, 5, 2, 32], [782, 149, 0, 69], [862, 17, 63, 58], [531, 5, 0, 464]]"
1,7,0,0.3105,0.21034748758044447,0.7005679630342704,0.3105,0.2693877551020408,0.7857142857142857,1.0,0.7471698113207547,0.99,0.022,0.032,0.198,0.4235294117647059,0.042801556420233464,0.06201550387596899,0.3130434782608696,0.8108152,0.82757914,0.5766339,0.5412828,0.63562566,0.13529003,0.10846475,0.117183276,0.13130622,3675,28,32,265,"[[990, 0, 0, 10], [953, 22, 0, 25], [932, 4, 32, 32], [800, 2, 0, 198]]"
1,9,0,0.28575,0.16842093593338617,0.682750652934282,0.28575,0.2617043661230931,0.75,1.0,0.7192982456140351,0.995,0.006,0.019,0.123,0.4144106622240733,0.011904761904761904,0.03729146221786065,0.21007685738684884,0.83937985,0.8503677,0.50206524,0.5837493,0.63925904,0.12691012,0.019078512,0.12303344,0.12638928,3802,8,19,171,"[[995, 0, 0, 5], [976, 6, 0, 18], [954, 2, 19, 25], [877, 0, 0, 123]]"
1,19,0,0.25775,0.11780833726324798,0.4063613509673188,0.25775,0.2540168324407039,0.0,1.0,0.37142857142857144,0.996,0.0,0.009,0.026,0.40479577321682586,0.0,0.017839444995044598,0.048598130841121495,0.83904123,0.84440243,nan,0.5355655,0.57776487,0.109577484,nan,0.083654374,0.07136673,3921,0,9,70,"[[996, 0, 0, 4], [992, 0, 0, 8], [959, 0, 9, 32], [974, 0, 0, 26]]"
1,0,1,0.2925,0.18006266350514202,0.1571542612638503,0.2925,0.34825174825174826,0.0,0.28036529680365296,0.0,0.249,0.0,0.921,0.0,0.2903790087463557,0.0,0.42987164527421234,0.0,0.6526511,0.58163637,nan,0.66810787,nan,0.078509554,nan,0.102033414,nan,715,0,3285,0,"[[249, 0, 751, 0], [122, 0, 878, 0], [79, 0, 921, 0], [265, 0, 735, 0]]"
1,1,1,0.29175,0.17898785677116463,0.15645387527498708,0.29175,0.34560906515580736,0.0,0.28020643594414085,0.0,0.244,0.0,0.923,0.0,0.28604923798358733,0.0,0.42990218910107125,0.0,0.6534714,0.57988656,nan,0.6692428,nan,0.07532332,nan,0.10015009,nan,706,0,3294,0,"[[244, 0, 756, 0], [127, 0, 873, 0], [77, 0, 923, 0], [258, 0, 742, 0]]"
1,3,1,0.294,0.1808126535502261,0.1586647523578997,0.294,0.35327635327635326,0.0,0.2813826561552456,0.0,0.248,0.0,0.928,0.0,0.29142185663924797,0.0,0.43182875756165656,0.0,0.65038157,0.5841594,nan,0.6644774,nan,0.07858973,nan,0.10047935,nan,702,0,3298,0,"[[248, 0, 752, 0], [131, 0, 869, 0], [72, 0, 928, 0], [251, 0, 749, 0]]"
1,5,1,0.2935,0.18185390782682356,0.1592322127781694,0.2935,0.3574408901251738,0.0,0.27948796098750384,0.0,0.257,0.0,0.917,0.0,0.2990110529377545,0.0,0.4284045783695398,0.0,0.64981216,0.5848292,nan,0.6640526,nan,0.07956478,nan,0.10048897,nan,719,0,3281,0,"[[257, 0, 743, 0], [118, 0, 882, 0], [83, 0, 917, 0], [261, 0, 739, 0]]"
1,7,1,0.295,0.18348461979017627,0.16206057940399912,0.295,0.36916548797736914,0.0,0.2790768296386274,0.0,0.261,0.0,0.919,0.0,0.30579964850615116,0.0,0.42813883065455394,0.0,0.6499159,0.5850945,nan,0.6638329,nan,0.0788074,nan,0.09972494,nan,707,0,3293,0,"[[261, 0, 739, 0], [115, 0, 885, 0], [81, 0, 919, 0], [250, 0, 750, 0]]"
